Date,Rate
17-Jan-11,45.42
18-Jan-11,45.45
19-Jan-11,45.34
20-Jan-11,45.36
21-Jan-11,45.80
22-Jan-11,45.58
23-Jan-11,45.59
24-Jan-11,45.59
25-Jan-11,45.53
26-Jan-11,45.71
27-Jan-11,45.48
28-Jan-11,45.69
29-Jan-11,45.84
30-Jan-11,45.84
31-Jan-11,45.84
01-Feb-11,45.84
02-Feb-11,45.58
03-Feb-11,45.55
04-Feb-11,45.67
05-Feb-11,45.56
06-Feb-11,45.61
07-Feb-11,45.61
08-Feb-11,45.36
09-Feb-11,45.2
10-Feb-11,45.37
11-Feb-11,45.66
12-Feb-11,45.61
13-Feb-11,45.6
14-Feb-11,45.6
15-Feb-11,45.45
16-Feb-11,45.43
17-Feb-11,45.41
18-Feb-11,45.23
19-Feb-11,45.1
20-Feb-11,45.11
21-Feb-11,45.11
22-Feb-11,44.92
23-Feb-11,45.17
24-Feb-11,45.1
25-Feb-11,45.42
26-Feb-11,45.28
27-Feb-11,45.28
28-Feb-11,45.3
01-Mar-11,45.2
02-Mar-11,44.84
03-Mar-11,44.8
04-Mar-11,44.9
05-Mar-11,44.90
06-Mar-11,44.85
07-Mar-11,44.91
08-Mar-11,44.97
09-Mar-11,44.93
10-Mar-11,44.9
11-Mar-11,45.17
14-Mar-11,45.24
15-Mar-11,45.00
16-Mar-11,45.15
17-Mar-11,45.02
18-Mar-11,45.07
19-Mar-11,45
20-Mar-11,45
21-Mar-11,45
22-Mar-11,44.99
23-Mar-11,44.9
24-Mar-11,44.81
25-Mar-11,44.63
26-Mar-11,44.63
27-Mar-11,44.63
28-Mar-11,44.63
29-Mar-11,44.74
30-Mar-11,44.7
31-Mar-11,44.63
01-Apr-11,44.4
02-Apr-11,44.43
03-Apr-11,44.43
04-Apr-11,44.45
05-Apr-11,44.34
06-Apr-11,44.31
07-Apr-11,44.08
08-Apr-11,44.13
09-Apr-11,44.07
10-Apr-11,43.96
11-Apr-11,43.96
12-Apr-11,44.28
13-Apr-11,44.19
14-Apr-11,44.45
15-Apr-11,44.41
16-Apr-11,44.3
17-Apr-11,44.3
18-Apr-11,44.28
19-Apr-11,44.38
20-Apr-11,44.42
21-Apr-11,44.28
22-Apr-11,44.28
23-Apr-11,44.28
24-Apr-11,44.28
25-Apr-11,44.27
26-Apr-11,44.43
27-Apr-11,44.52
28-Apr-11,44.4
29-Apr-11,44.33
30-Apr-11,44.18
01-May-11,44.25
02-May-11,44.25
03-May-11,44.25
04-May-11,44.43
05-May-11,44.34
06-May-11,44.73
07-May-11,44.63
08-May-11,44.73
09-May-11,44.73
10-May-11,44.63
11-May-11,44.63
12-May-11,44.62
13-May-11,44.73
14-May-11,44.83
15-May-11,44.83
16-May-11,44.86
17-May-11,44.98
18-May-11,45.03
19-May-11,45.06
20-May-11,44.9
21-May-11,44.88
22-May-11,45.00
23-May-11,45.00
24-May-11,45.2
25-May-11,45.18
26-May-11,45.3
27-May-11,45.22
28-May-11,45.18
29-May-11,45.18
30-May-11,45.18
31-May-11,45.09
01-Jun-11,45.05
02-Jun-11,44.79
03-Jun-11,44.78
04-Jun-11,44.83
05-Jun-11,44.78
06-Jun-11,44.83
07-Jun-11,44.7
08-Jun-11,44.68
09-Jun-11,44.73
10-Jun-11,44.63
11-Jun-11,44.73
12-Jun-11,44.73
13-Jun-11,44.73
14-Jun-11,44.83
15-Jun-11,44.74
16-Jun-11,44.80
17-Jun-11,44.80
18-Jun-11,44.8
19-Jun-11,44.77
20-Jun-11,44.77
21-Jun-11,44.9
22-Jun-11,44.8
23-Jun-11,44.76
24-Jun-11,44.9
25-Jun-11,44.93
26-Jun-11,44.99
27-Jun-11,44.99
28-Jun-11,44.95
29-Jun-11,45.01
30-Jun-11,44.79
01-Jul-11,44.6
02-Jul-11,44.49
03-Jul-11,44.63
04-Jul-11,44.63
05-Jul-11,44.43
06-Jul-11,44.36
07-Jul-11,44.36
08-Jul-11,44.33
09-Jul-11,44.34
10-Jul-11,44.33
11-Jul-11,44.42
12-Jul-11,44.4
13-Jul-11,44.6
14-Jul-11,44.5
15-Jul-11,44.51
16-Jul-11,44.5
17-Jul-11,44.51
18-Jul-11,44.51
19-Jul-11,44.61
20-Jul-11,44.49
21-Jul-11,44.45
22-Jul-11,44.33
23-Jul-11,44.34
24-Jul-11,44.36
25-Jul-11,44.35
26-Jul-11,44.34
27-Jul-11,44.1
28-Jul-11,44.05
29-Jul-11,44.04
30-Jul-11,44.09
31-Jul-11,44.21
01-Aug-11,44.21
02-Aug-11,44.07
03-Aug-11,44.27
04-Aug-11,44.32
05-Aug-11,44.57
06-Aug-11,44.74
07-Aug-11,44.74
08-Aug-11,44.74
09-Aug-11,45.01
10-Aug-11,45.21
11-Aug-11,45.25
12-Aug-11,45.30
13-Aug-11,45.40
14-Aug-11,45.40
15-Aug-11,45.40
16-Aug-11,45.24
17-Aug-11,45.14
18-Aug-11,45.31
19-Aug-11,45.59
20-Aug-11,45.63
21-Aug-11,45.67
22-Aug-11,45.67
23-Aug-11,45.64
24-Aug-11,45.98
25-Aug-11,45.92
26-Aug-11,45.95
27-Aug-11,46.13
28-Aug-11,46.16
29-Aug-11,46.16
31-Aug-11,45.97
02-Sep-11,45.67
03-Sep-11,43.22
04-Sep-11,45.74
05-Sep-11,45.74
07-Sep-11,46.07
08-Sep-11,46.09
09-Sep-11,46.16
10-Sep-11,46.65
11-Sep-11,46.53
12-Sep-11,46.65
13-Sep-11,47.19
14-Sep-11,47.49
15-Sep-11,47.59
17-Sep-11,47.28
18-Sep-11,47.2
19-Sep-11,47.2
20-Sep-11,47.73
21-Sep-11,47.94
22-Sep-11,48.25
23-Sep-11,49.48
24-Sep-11,49.35
25-Sep-11,49.35
26-Sep-11,49.35
27-Sep-11,49.43
28-Sep-11,48.92
01-Oct-11,49.09
04-Oct-11,49.1
05-Oct-11,49.26
06-Oct-11,49.24
07-Oct-11,49.17
08-Oct-11,48.9
10-Oct-11,48.90
11-Oct-11,48.82
12-Oct-11,49.18
13-Oct-11,48.9
15-Oct-11,48.9
16-Oct-11,48.90
17-Oct-11,48.90
18-Oct-11,48.93
19-Oct-11,49.27
20-Oct-11,49.03
21-Oct-11,49.88
22-Oct-11,49.71
23-Oct-11,49.83
24-Oct-11,49.83
25-Oct-11,49.73
26-Oct-11,49.43
28-Oct-11,49.82
29-Oct-11,48.63
30-Oct-11,48.63
31-Oct-11,48.63
01-Nov-11,48.68
02-Nov-11,49.26
03-Nov-11,49.11
04-Nov-11,49.04
05-Nov-11,49
06-Nov-11,49.00
07-Nov-11,49.00
08-Nov-11,48.95
09-Nov-11,49.33
10-Nov-11,50.13
11-Nov-11,49.99
12-Nov-11,50.04
13-Nov-11,49.81
14-Nov-11,50.04
15-Nov-11,50.35
16-Nov-11,50.60
17-Nov-11,50.67
18-Nov-11,50.95
19-Nov-11,51.23
20-Nov-11,51.23
21-Nov-11,51.23
22-Nov-11,52.06
23-Nov-11,52.49
24-Nov-11,52.26
25-Nov-11,52.07
26-Nov-11,52.23
27-Nov-11,52.23
28-Nov-11,52.23
29-Nov-11,52.04
30-Nov-11,51.91
01-Dec-11,51.75
02-Dec-11,51.27
03-Dec-11,51.16
05-Dec-11,51.11
06-Dec-11,51.35
08-Dec-11,51.63
09-Dec-11,51.72
10-Dec-11,51.89
11-Dec-11,51.87
12-Dec-11,51.87
13-Dec-11,52.73
14-Dec-11,53.10
16-Dec-11,53.56
17-Dec-11,52.50
18-Dec-11,52.53
19-Dec-11,52.50
20-Dec-11,52.70
21-Dec-11,52.7
22-Dec-11,52.40
23-Dec-11,52.53
24-Dec-11,52.79
25-Dec-11,52.79
26-Dec-11,52.79
28-Dec-11,52.94
29-Dec-11,52.89
30-Dec-11,53.00
31-Dec-11,52.9
01-Jan-12,53.01
02-Jan-12,53.01
03-Jan-12,53.30
04-Jan-12,53.09
05-Jan-12,52.89
06-Jan-12,52.89
07-Jan-12,52.64
08-Jan-12,52.68
09-Jan-12,52.68
10-Jan-12,52.40
11-Jan-12,51.60
12-Jan-12,51.82
13-Jan-12,51.49
14-Jan-12,51.44
15-Jan-12,51.44
16-Jan-12,51.44
18-Jan-12,50.70
19-Jan-12,50.41
20-Jan-12,50.31
21-Jan-12,50.24
22-Jan-12,50.23
23-Jan-12,50.23
24-Jan-12,49.92
25-Jan-12,50.03
26-Jan-12,50.03
27-Jan-12,49.43
28-Jan-12,49.23
29-Jan-12,49.39
30-Jan-12,49.39
31-Jan-12,49.63
01-Feb-12,49.53
02-Feb-12,49.10
03-Feb-12,49.04
04-Feb-12,48.58
05-Feb-12,48.66
06-Feb-12,48.66
07-Feb-12,49.06
08-Feb-12,49.23
09-Feb-12,49.23
10-Feb-12,49.27
11-Feb-12,49.44
12-Feb-12,49.36
13-Feb-12,49.36
15-Feb-12,49.40
16-Feb-12,49.37
18-Feb-12,49.35
19-Feb-12,49.32
20-Feb-12,49.32
21-Feb-12,49.15
23-Feb-12,49.13
24-Feb-12,49.13
25-Feb-12,48.99
26-Feb-12,49.01
27-Feb-12,49.01
28-Feb-12,49.13
29-Feb-12,49.02
01-Mar-12,49.00
02-Mar-12,49.14
03-Mar-12,49.56
04-Mar-12,49.52
05-Mar-12,49.52
06-Mar-12,49.74
07-Mar-12,50.34
08-Mar-12,50.28
09-Mar-12,49.93
10-Mar-12,49.69
11-Mar-12,49.76
12-Mar-12,49.76
13-Mar-12,49.94
14-Mar-12,49.85
15-Mar-12,49.95
16-Mar-12,50.21
17-Mar-12,50.06
18-Mar-12,50.14
19-Mar-12,50.14
20-Mar-12,50.1
21-Mar-12,50.33
22-Mar-12,50.61
23-Mar-12,51.16
24-Mar-12,51.14
25-Mar-12,51.17
26-Mar-12,51.17
