Year,mm
1813,23.56
1814,26.07
1815,21.86
1816,31.24
1817,23.65
1818,23.88
1819,26.41
1820,22.67
1821,31.69
1822,23.86
1823,24.11
1824,32.43
1825,23.26
1826,22.57
1827,23
1828,27.88
1829,25.32
1830,25.08
1831,27.76
1832,19.82
1833,24.78
1834,20.12
1835,24.34
1836,27.42
1837,19.44
1838,21.63
1839,27.49
1840,19.43
1841,31.13
1842,23.09
1843,25.85
1844,22.65
1845,22.75
1846,26.36
1847,17.7
1848,29.81
1849,22.93
1850,19.22
1851,20.63
1852,35.34
1853,25.89
1854,18.65
1855,23.06
1856,22.21
1857,22.18
1858,18.77
1859,28.21
1860,32.24
1861,22.27
1862,27.57
1863,21.59
1864,16.93
1865,29.48
1866,31.6
1867,26.25
1868,23.4
1869,25.42
1870,21.32
1871,25.02
1872,33.86
1873,22.67
1874,18.82
1875,28.44
1876,26.16
1877,28.17
1878,34.08
1879,33.82
1880,30.28
1881,27.92
1882,27.14
1883,24.4
1884,20.35
1885,26.64
1886,27.01
1887,19.21
1888,27.74
1889,23.85
1890,21.23
1891,28.15
1892,22.61
1893,19.8
1894,27.94
1895,21.47
1896,23.52
1897,22.86
1898,17.69
1899,22.54
1900,23.28
1901,22.17
1902,20.84
1903,38.1
1904,20.65
1905,22.97
1906,24.26
1907,23.01
1908,23.67
1909,26.75
1910,25.36
1911,24.79
1912,27.88
